,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
453,output44_ligand418_2023-11-21-14:35,-8.202,-1.5326999999999944,545.3199967039998,1.4771286335225455,[36.56680158 47.24840218 27.79061659]
454,output44_ligand104_2023-11-21-14:35,-8.202,3.475200000000002,495.40360717600004,1.2825439648856705,[26.87578709 44.26251811 30.28103119]
455,output26_ligand185_2023-11-21-14:35,-8.202,1.8272000000000006,408.346426648,1.3295830680606455,[29.67470516 29.51467459 30.53525003]
456,output44_ligand763_2023-11-21-14:35,-8.196,1.962799999999999,238.204513452,1.7056300145151688,[32.45749989 44.67301137 28.6514114 ]
457,output52_ligand242_2023-11-21-14:35,-8.19,2.3556999999999997,394.319543204,1.3479857063859184,[25.6041634  44.58100869 32.22375997]
458,output26_ligand151_2023-11-21-14:35,-8.189,2.8801000000000005,280.251463644,1.5257037774040336,[29.90474491 28.65499471 30.99005945]
459,output413_ligand100_2023-11-21-14:35,-8.185,1.2743000000000002,355.283492044,1.3607541114140131,[35.4805544  45.60318743 28.16764684]
460,output26_ligand221_2023-11-21-14:35,-8.185,2.7159000000000004,311.246043916,1.4066182010388104,[30.29198712 29.95180927 31.25178015]
461,output44_ligand138_2023-11-21-14:35,-8.184,-0.938999999999997,313.211389724,1.5177829654088715,[38.26812344 46.108894   27.43921946]
462,output52_ligand52_2023-11-21-14:35,-8.182,2.801,336.277678392,1.3546707023172966,[25.78896485 44.38295732 31.80686012]
463,output26_ligand915_2023-11-21-14:35,-8.178,3.733400000000003,233.21434986399998,1.5217899735619282,[29.02919099 30.68722226 31.57688884]
464,output52_ligand9_2023-11-21-14:35,-8.178,0.9034999999999993,369.2515232199999,1.6030917798146023,[26.78832539 44.33757103 32.08888431]
465,output52_ligand649_2023-11-21-14:35,-8.177,3.0570000000000004,337.27292736,1.5229997767309968,[25.97815248 43.51579147 31.29220794]
466,output26_ligand274_2023-11-21-14:35,-8.175,1.219799999999999,411.30970679199993,1.5823598549995082,[31.13086845 45.17813016 29.37838324]
467,output12_ligand41_2023-11-21-14:35,-8.173,3.5501000000000027,365.292994108,1.4248399061641357,[40.58084776 26.0424566  46.50263587]
468,output44_ligand356_2023-11-21-14:35,-8.172,1.0015999999999992,440.34215294,1.5952893429324981,[35.353373   45.68495    27.89516242]
