,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
1974,output44_ligand959_2023-11-22-15:52,-7.00533819,2.1867,284.162373868,1.8172817323754271,[37.81630496 47.1677669  27.52969531]
1975,output413_ligand734_2023-11-22-15:52,-7.00521088,4.6825000000000045,321.22794924,1.8221990469885323,[32.7204593  44.83950709 29.38608409]
1976,output12_ligand902_2023-11-22-15:52,-7.00495911,2.1858,300.230059504,2.052391075889572,[29.72411971 44.48941913 30.26668066]
1977,output44_ligand434_2023-11-22-15:52,-7.00451422,0.5946999999999991,392.191582884,1.394718634944944,[35.02387559 46.327101   29.21834335]
1978,output12_ligand115_2023-11-22-15:52,-7.00415611,3.4501000000000017,379.308644172,1.4451246421710957,[30.97239784 46.1090864  29.72267664]
1979,output12_ligand199_2023-11-22-15:52,-7.00244713,3.517800000000002,308.28276377199995,1.6543592918301047,[29.47663667 44.60366022 30.39336547]
1980,output417_ligand407_2023-11-22-15:52,-7.00234699,0.3904000000000046,471.358468552,1.2224930553109046,[32.16330737 46.8401398  27.33765408]
1981,output52_ligand3_2023-11-22-15:52,-7.00225973,0.0,0.0,0.0,"[0, 0, 0]"
1982,output12_ligand865_2023-11-22-15:52,-7.00219536,1.7385999999999995,366.288243076,1.5055908317828186,[30.21875253 45.53780435 28.64554733]
1983,output413_ligand585_2023-11-22-15:52,-7.00161505,0.6818000000000003,241.21541248399998,1.7719328660935703,[32.73612135 43.60522021 28.98062537]
1984,output44_ligand730_2023-11-22-15:52,-7.00099087,-0.5222999999999989,239.21099579999998,1.4651574090231176,[32.49478399 43.96439849 28.31413248]
1985,output44_ligand462_2023-11-22-15:52,-6.9999609,4.044700000000002,582.4607877039999,1.545519650953411,[34.29714969 45.25902833 27.19969911]
1986,output12_ligand872_2023-11-22-15:52,-6.99987078,2.795900000000001,406.3195432039999,1.1847282389762082,[33.11846538 47.47153828 28.43311426]
1987,output52_ligand192_2023-11-22-15:52,-6.99898291,-0.35850000000000076,438.1858288079999,1.537449438652607,[34.96196657 49.27544976 30.43317121]
1988,output413_ligand339_2023-11-22-15:52,-6.99843502,2.2321999999999997,508.2970935079999,1.1611240445444615,[30.44687796 47.18765885 30.25305199]
1989,output52_ligand959_2023-11-22-15:52,-6.99776745,2.1867,284.162373868,1.8172817323754271,[28.18357071 45.21240787 32.23452315]
1990,output413_ligand794_2023-11-22-15:52,-6.99684906,2.643800000000001,300.277678392,2.8333934685844357,[31.97042332 43.7128343  27.64724906]
1991,output413_ligand873_2023-11-22-15:52,-6.9961791,2.4984,254.199428072,1.780264352308215,[31.72815425 44.47786871 28.62364907]
1992,output52_ligand958_2023-11-22-15:52,-6.99533224,2.5073000000000008,309.25365471609,1.5223605412140306,[34.9679565  47.58877284 27.95884944]
1993,output12_ligand122_2023-11-22-15:52,-6.99441051,-0.756499999999998,384.26713077200003,1.6301697192565054,[43.80872117 48.07389789 24.54258112]
1994,output26_ligand124_2023-11-22-15:52,-6.99430799,0.0,0.0,0.0,"[0, 0, 0]"
1995,output12_ligand676_2023-11-22-15:52,-6.99378538,1.8382999999999998,278.19833091218,1.371564532630725,[29.97009196 45.94546547 31.75943031]
1996,output26_ligand138_2023-11-22-15:52,-6.99331951,-0.938999999999997,313.211389724,1.5177829654088715,[31.81072709 45.62396487 29.31599441]
1997,output26_ligand316_2023-11-22-15:52,-6.99259758,1.1505000000000012,301.230016992,1.7603689643069458,[29.84823569 44.05632461 29.7346464 ]
1998,output44_ligand268_2023-11-22-15:52,-6.99228191,1.1395000000000002,311.22639441209,1.3004262838235428,[36.77684572 45.06688944 27.38238192]
1999,output417_ligand90_2023-11-22-15:52,-6.99193525,1.4341000000000015,396.240641252,1.835748122539628,[33.65490504 49.06737923 29.60727087]
2000,output26_ligand461_2023-11-22-15:52,-6.98941231,0.8462999999999994,443.28830265199997,1.4243510641266792,[31.48236666 45.2954419  28.54612364]
2001,output417_ligand306_2023-11-22-15:52,-6.98911095,1.695000000000001,367.28349204399996,1.3631997804539808,[28.56792137 45.7941957  31.37503501]
2002,output44_ligand249_2023-11-22-15:52,-6.98761606,-1.1275999999999977,402.27298693599994,1.7409415069207435,[32.28906721 46.61617412 29.72582664]
2003,output413_ligand590_2023-11-22-15:52,-6.98677015,1.5119999999999996,268.215078136,1.6717385206168025,[33.6612777  45.39172642 28.66295904]
2004,output26_ligand263_2023-11-22-15:52,-6.98640776,0.9438000000000002,387.30970679200004,1.67835521835739,[31.10432885 45.58196523 29.33350117]
2005,output52_ligand199_2023-11-22-15:52,-6.98609209,3.517800000000002,308.28276377199995,1.6543592918301047,[27.08717149 44.69824024 31.21507814]
2006,output413_ligand464_2023-11-22-15:52,-6.98606539,3.722800000000002,511.38728841599993,1.5678157074214818,[30.67442336 46.45322474 31.18254415]
2007,output417_ligand691_2023-11-22-15:52,-6.98513508,1.6232999999999995,333.21155022799996,1.8075041219892123,[38.67903845 48.35543845 25.30326032]
2008,output44_ligand497_2023-11-22-15:52,-6.98490381,2.0254000000000016,515.3458175279999,1.677471330633559,[35.70062624 45.967619   26.73314311]
2009,output417_ligand150_2023-11-22-15:52,-6.98488569,2.895900000000002,569.3862428599999,1.1969797211292128,[31.45613992 47.82179102 29.54779566]
2010,output413_ligand962_2023-11-22-15:52,-6.98437977,2.8408000000000015,298.178023932,1.794549734805476,[30.85325042 44.96765841 29.67664403]
2011,output44_ligand768_2023-11-22-15:52,-6.98398161,-0.3700999999999979,268.226311516,1.5133025708554382,[36.9895764  44.66532717 26.90176611]
2012,output52_ligand466_2023-11-22-15:52,-6.98250818,3.085300000000001,541.3978530999999,1.5610015649588,[31.86512048 47.0852913  30.56199509]
2013,output52_ligand957_2023-11-22-15:52,-6.98239279,1.5077999999999996,305.24561545218,1.2370394186601958,[29.55099089 45.70118356 31.13059376]
2014,output44_ligand736_2023-11-22-15:52,-6.98185778,2.7208000000000006,269.235479232,1.7146377295273996,[33.81641344 43.30087032 27.81559215]
2015,output413_ligand700_2023-11-22-15:52,-6.98176718,-0.48349999999999793,357.24277010399993,1.596424880295831,[30.51964116 44.88589673 28.02013529]
2016,output12_ligand25_2023-11-22-15:52,-6.98138189,0.302400000000002,381.31037548800003,1.2791910861356637,[33.20951431 46.09743083 27.66074797]
2017,output44_ligand476_2023-11-22-15:52,-6.98063946,2.101999999999999,443.27054441199994,1.4796332751608792,[31.42400905 46.25312305 30.11415182]
2018,output26_ligand117_2023-11-22-15:52,-6.97996378,0.9306000000000019,300.252526264,1.8833898210246507,[31.2238352  43.62395353 29.24014983]
2019,output413_ligand238_2023-11-22-15:52,-6.978652,1.3281,410.314457824,1.3283090375018878,[32.55100409 45.02775947 28.64500873]
2020,output413_ligand769_2023-11-22-15:52,-6.97758341,3.0119000000000007,510.3603624599999,1.3227766410585173,[31.92091835 46.26582221 28.8258051 ]
2021,output44_ligand229_2023-11-22-15:52,-6.97687149,-2.4316999999999966,253.21328784,1.5973923815190458,[33.28853342 44.37618759 28.88310749]
